	label	aspect	sentence	masked_sen	subject	verb	object
13	1	einreissen	Schwarz-Gelb will diese Grenze einreissen .	Schwarz-Gelb will diese Grenze [MASK] .		einreissen	Grenze
14	1	einzureissen	Ein offener Dialog ist der Weg , Brücken zu bauen und Mauern von jahrhundertelangem Hass einzureissen .	Ein offener Dialog ist der Weg , Brücken zu bauen und Mauern von jahrhundertelangem Hass [MASK] .		einreissen	
15	1	eingerissen	Wahnsinn , unvergesslich , kein Oscar für diese Filmmusik , dafür gehört jede Academy der Welt eingerissen .	Wahnsinn , unvergesslich , kein Oscar für diese Filmmusik , dafür gehört jede Academy der Welt [MASK] .		einreissen	Academy
16	1	reisst	Weg damit , reisst die Schamwände ein !	Weg damit , [MASK] die Schamwände ein !		einreissen	Schamwand
17	1	reisst	Generation 1 baut auf , Generation 2 sonnt sich darin und Nummer 3 reisst alles wieder ein .	Generation 1 baut auf , Generation 2 sonnt sich darin und Nummer 3 [MASK] alles wieder ein .	Nummer	einreissen	alles
18	1	zuschrauben	In der Folge versäumte es der Gast das Ergebnis deutlich in die Höhe zuschrauben .	In der Folge versäumte es der Gast das Ergebnis deutlich in die Höhe [MASK] .		zuschrauben	Ergebnis
19	0	schraube	Ich schraube sie zu , lege eine Schlaufe durch die Form .	Ich [MASK] sie zu , lege eine Schlaufe durch die Form .	ich	zuschrauben	sie
20	1	zuschrauben	leider ist die Frau nicht bereit ihren Lebensstandard runter zuschrauben .	leider ist die Frau nicht bereit ihren Lebensstandard runter [MASK] .		zuschrauben	Lebensstandard
21	0	zuschrauben	Gläser zuschrauben und mindestens 10 Tage stehen lassen .	Gläser [MASK] und mindestens 10 Tage stehen lassen .		zuschrauben	Glas
22	0	abfällt	Wo der Meeresboden steil in die Tiefe abfällt .	Wo der Meeresboden steil in die Tiefe [MASK] .	Meeresboden	abfallen	
23	0	abgefallen	Blätter sind welk geworden und braun , abgefallen und eingegangen ...	Blätter sind welk geworden und braun , [MASK] und eingegangen ...		abfallen	
24	0	fielen	Der Graben hatte ursprünglich eine Tiefe von gut 5 Metern , seine Seitenwände fielen nahezu senkrecht ab .	Der Graben hatte ursprünglich eine Tiefe von gut 5 Metern , seine Seitenwände [MASK] nahezu senkrecht ab .	Graben	abfallen	
25	1	abgefallen	Durch den Sieg ist eine grosse Last von mir abgefallen .	Durch den Sieg ist eine grosse Last von mir [MASK] .	Last	abfallen	
26	1	abfällt	Fazit : Nette Unterhaltung mit einem Ende , das abfällt .	Fazit : Nette Unterhaltung mit einem Ende , das [MASK] .	Ende	abfallen	
27	0	abfallen	Von alleine wird das abgerissene Teil wohl nicht abfallen .	Von alleine wird das abgerissene Teil wohl nicht [MASK] .	Teil	abfallen	
28	0	abfallen	Auch den Baum darf er nicht schütteln , dass sie abfallen .	Auch den Baum darf er nicht schütteln , dass sie [MASK] .	sie	abfallen	
29	1	abgefallen	Die Anspannung , die Sorgen , die Angst - alles ist von dir abgefallen .	Die Anspannung , die Sorgen , die Angst - alles ist von dir [MASK] .	alle	abfallen	
30	0	fallen	Den Panzern fallen die Schussrohre ab .	Den Panzern [MASK] die Schussrohre ab .	Schussrohr	abfallen	
31	1	abfällt	Wer nun nicht vom Glauben abfällt dem ist wirklich nicht mehr zu helfen !	Wer nun nicht vom Glauben [MASK] dem ist wirklich nicht mehr zu helfen !		abfallen	
32	0	abgefallen	Aber gut , dass die Zecken bei deinem Hund abgefallen sind .	Aber gut , dass die Zecken bei deinem Hund [MASK] sind .	Zecke	abfallen	
33	0	abfällt	Weil das Westufer weithin steil in den See abfällt , wurde die Strasse sehr kühn .	Weil das Westufer weithin steil in den See [MASK] , wurde die Strasse sehr kühn .	Westufer	abfallen	
34	1	fallen	Wir fallen fast vom Glauben ab ; das haben wir echt nicht mehr erwartet !	Wir [MASK] fast vom Glauben ab ; das haben wir echt nicht mehr erwartet !		abfallen	
35	0	abfällt	Wenn ich ihm was koche , oder so etwas abfällt frisst er es .	Wenn ich ihm was koche , oder so etwas [MASK] frisst er es .		abfallen	etwas
36	0	abfallen	Dadurch wird die Haftkraft der Prothese vermindert ; sie hat weniger Halt und kann öfter abfallen .	Dadurch wird die Haftkraft der Prothese vermindert ; sie hat weniger Halt und kann öfter [MASK] .	Prothese	abfallen	
37	0	fiel	Rechts konnte man den Berg berühren und links fiel er steil ab .	Rechts konnte man den Berg berühren und links [MASK] er steil ab .	Berg	abfallen	
38	1	falle	Wenn jetzt noch jemand behauptet , dass Pamela Anderson Silikonbrüste hat , falle ich vom Glauben ab .	Wenn jetzt noch jemand behauptet , dass Pamela Anderson Silikonbrüste hat , [MASK] ich vom Glauben ab .	ich	abfallen	
39	0	abfallen	Dort beissen sie sich fest , saugen über Stunden und lassen sich dann voll gesogen wieder abfallen .	Dort beissen sie sich fest , saugen über Stunden und lassen sich dann voll gesogen wieder [MASK] .		abfallen	
40	1	abgefallen	Jetzt wo der Stress abgefallen ist kann ich endlich wieder durchschlafen .	Jetzt wo der Stress [MASK] ist kann ich endlich wieder durchschlafen .	Stress	abfallen	
41	1	abgefallen	Die Behandlung hatte nichts gebracht , da der Lungenfunktionswert weiter abgefallen war .	Die Behandlung hatte nichts gebracht , da der Lungenfunktionswert weiter [MASK] war .	Lungenfunktionswert	abfallen	
42	0	abfällt	Jedenfalls sagt die Chirurgin , dass der Nagel abfällt , nachwächst und nix Schlimmes zurück bleibt .	Jedenfalls sagt die Chirurgin , dass der Nagel [MASK] , nachwächst und nix Schlimmes zurück bleibt .	Nagel	abfallen	
43	1	fallen	Die Werte fallen ab , einen Einfluss auf das Überleben können wir aber nur vermuten .	Die Werte [MASK] ab , einen Einfluss auf das Überleben können wir aber nur vermuten .	Wert	abfallen	
44	0	abzufallen	Doch schon wieder werden die unteren Blätter fleckig und gelb und scheinen bald abzufallen .	Doch schon wieder werden die unteren Blätter fleckig und gelb und scheinen bald [MASK] .	Blatt	abfallen	
45	0	abfallen	Es tut weder verrutschen , noch abfallen .	Es tut weder verrutschen , noch [MASK] .		abfallen	
46	1	abgefallen	Sind unter Siggi Pop der SPD die Eier wieder abgefallen ???	Sind unter Siggi Pop der SPD die Eier wieder [MASK] ???	Ei	abfallen	
47	1	abgefallen	Dagegen sind unsere Männer zuletzt etwas abgefallen , ohne aber schlecht gespielt zu haben .	Dagegen sind unsere Männer zuletzt etwas [MASK] , ohne aber schlecht gespielt zu haben .	Mann	abfallen	
48	1	fallen	Die Leistungen der Erzieherin fallen stark ab .	Die Leistungen der Erzieherin [MASK] stark ab .	Leistung	abfallen	
49	1	fallen	All die Sorgen fallen von dir ab .	All die Sorgen [MASK] von dir ab .	Sorge	abfallen	
50	1	fiel	Die ganze Anspannung der letzten harten Trainingswochen fiel ab .	Die ganze Anspannung der letzten harten Trainingswochen [MASK] ab .	Anspannung	abfallen	
51	1	abfallen	Seine Stärke wird rapide abfallen .	Seine Stärke wird rapide [MASK] .	Stärke	abfallen	
52	1	anzuheizen	Ich wollte diese Bilder bearbeiten , die aus ihrem Zusammenhang gerissen dazu dienten , den Konflikt anzuheizen .	Ich wollte diese Bilder bearbeiten , die aus ihrem Zusammenhang gerissen dazu dienten , den Konflikt [MASK] .		anheizen	Konflikt
53	1	anzuheizen	DIE LINKE hat keine Konzepte das neoliberale Scheingefecht der Schuldenkrise mit der Selbstzerstörung der Kommunen anzuheizen .	DIE LINKE hat keine Konzepte das neoliberale Scheingefecht der Schuldenkrise mit der Selbstzerstörung der Kommunen [MASK] .		anheizen	Scheingefecht
54	1	angeheizt	Gerade eben fand der Opener statt , und die Fans sind jetzt erst so richtig angeheizt .	Gerade eben fand der Opener statt , und die Fans sind jetzt erst so richtig [MASK] .		anheizen	Fan
55	1	anheizen	Trotz des Wahlsiegs seiner Partei hätte er die Stimmung ohnehin nicht anheizen können .	Trotz des Wahlsiegs seiner Partei hätte er die Stimmung ohnehin nicht [MASK] können .		anheizen	Stimmung
56	0	angeheizt	Der Kamin ist auch schon gesäubert und angeheizt .	Der Kamin ist auch schon gesäubert und [MASK] .		anheizen	Kamin
57	0	angeheizt	Ebenso interessant ist die Dampflok , da meine BR 01 den Kessel bereits angeheizt hat .	Ebenso interessant ist die Dampflok , da meine BR 01 den Kessel bereits [MASK] hat .	BR	anheizen	Kessel
58	1	anheizte	Man wird noch lange nach der Feier von der Musik sprechen , welche die Stimmung gekonnt anheizte .	Man wird noch lange nach der Feier von der Musik sprechen , welche die Stimmung gekonnt [MASK] .	Musik	anheizen	Stimmung
59	1	anzuheizen	Das bringt doch in jedem Fall mehr als die Gerüchteküche anzuheizen !	Das bringt doch in jedem Fall mehr als die Gerüchteküche [MASK] !	der	anheizen	Gerüchteküche
60	1	heize	Das heize den Streit nur an .	Das [MASK] den Streit nur an .	der	anheizen	Streit
61	0	angeheizt	Gegen 20 Uhr wurde dann der Grill angeheizt und wir gingen zum gemütlichen Teil des Tages über .	Gegen 20 Uhr wurde dann der Grill [MASK] und wir gingen zum gemütlichen Teil des Tages über .		anheizen	Grill
62	0	angeheizt	An Dampftagen müssen immer zwei Loks angeheizt werden .	An Dampftagen müssen immer zwei Loks [MASK] werden .		anheizen	Lok
63	0	anzuheizen	Dies ist Anlass , den Ofen wieder einmal anzuheizen .	Dies ist Anlass , den Ofen wieder einmal [MASK] .		anheizen	Ofen
64	0	angeheizt	Erst wird das Wohnmobil angeheizt .	Erst wird das Wohnmobil [MASK] .		anheizen	Wohnmobil
65	0	angeheizt	Ein spezieller Ofen wurde mit Propangas angeheizt .	Ein spezieller Ofen wurde mit Propangas [MASK] .		anheizen	Ofen
66	1	aufgetischt	Die Managerin hat mir die gleiche Entschuldigung aufgetischt , wie die Servicekraft 2 Tage zuvor .	Die Managerin hat mir die gleiche Entschuldigung [MASK] , wie die Servicekraft 2 Tage zuvor .	Managerin	auftischen	Entschuldigung
67	0	aufgetischt	Das Essen war aufgetischt und kein Mario zu sehen , das gibt es ?	Das Essen war [MASK] und kein Mario zu sehen , das gibt es ?		auftischen	Essen
68	0	aufgetischt	Was wir da in der Hütte aufgetischt bekommen haben , waren aber fette Kartoffeln .	Was wir da in der Hütte [MASK] bekommen haben , waren aber fette Kartoffeln .		auftischen	
69	0	aufgetischt	Eventuell kann man auch das Essen fotografieren , wenn es aufgetischt wird .	Eventuell kann man auch das Essen fotografieren , wenn es [MASK] wird .		auftischen	Essen
70	1	auftischt	Also anscheinend stimmt so gut wie gar nichts , was dieser feine Herr uns auftischt .	Also anscheinend stimmt so gut wie gar nichts , was dieser feine Herr uns [MASK] .	Herr	auftischen	was
71	0	aufgetischt	Der Zivilschutz hat in der Bereitstellungsanlage III in Obermeilen gekocht , aufgetischt wird im Feuerwehrgebäude .	Der Zivilschutz hat in der Bereitstellungsanlage III in Obermeilen gekocht , [MASK] wird im Feuerwehrgebäude .		auftischen	
72	0	auftischen	Mir knurrte der Magen , doch ich konnte , bzw. wollte nicht auftischen .	Mir knurrte der Magen , doch ich konnte , bzw. wollte nicht [MASK] .		auftischen	
73	0	aufgetischt	Die Essenszeit war gekommen und es wurde ein 4 - Gänge-Menü aufgetischt .	Die Essenszeit war gekommen und es wurde ein 4 - Gänge-Menü [MASK] .		auftischen	Gänge-Menü
74	0	aufgetischt	So richtig munter wurde ich erst wieder als das Abendessen gegen 19:30 Uhr aufgetischt wurde .	So richtig munter wurde ich erst wieder als das Abendessen gegen 19:30 Uhr [MASK] wurde .		auftischen	Abendessen
75	0	tischt	Statt eines Feinschmecker-Menüs zum Abschluss tischt BioWare bewährte Kost auf .	Statt eines Feinschmecker-Menüs zum Abschluss [MASK] BioWare bewährte Kost auf .	BioWare	auftischen	Kost
76	0	auftischen	Ihre Reiseleiter werden Ihnen eine reiche Auswahl an lokalen Spezialitäten auftischen .	Ihre Reiseleiter werden Ihnen eine reiche Auswahl an lokalen Spezialitäten [MASK] .	Reiseleiter	auftischen	Spezialität
77	1	aufgetischt	Dem SV Babelsberg wurde übrigens eine selten dämliche Notlüge aufgetischt .	Dem SV Babelsberg wurde übrigens eine selten dämliche Notlüge [MASK] .		auftischen	Notlüge
78	1	aufgetischt	Eine satte Portion Geschichten bekommen Museumsgäste am Nachmittag von Maria Kiener aufgetischt .	Eine satte Portion Geschichten bekommen Museumsgäste am Nachmittag von Maria Kiener [MASK] .		auftischen	Portion
79	1	aufgetischt	Viel Spass noch in den anderen Foren , wo man es respektiert , Märchen aufgetischt zu bekommen .	Viel Spass noch in den anderen Foren , wo man es respektiert , Märchen [MASK] zu bekommen .		auftischen	Märchen
80	0	aufgetischt	Es wurden dreimal täglich die Mahlzeiten aufgetischt .	Es wurden dreimal täglich die Mahlzeiten [MASK] .		auftischen	Mahlzeit
81	1	aufgetischt	Es sollen aber auch keine Hoffnungen aufgetischt werden , wenn es sie konkret nicht gibt .	Es sollen aber auch keine Hoffnungen [MASK] werden , wenn es sie konkret nicht gibt .		auftischen	Hoffnung
82	1	aufgetischt	Und bei einem richtigen Züchter würde dir wegen einer billigen Impfung auch nicht eine Lüge aufgetischt werden !	Und bei einem richtigen Züchter würde dir wegen einer billigen Impfung auch nicht eine Lüge [MASK] werden !		auftischen	Lüge
83	0	aufgetischt	Das Buffet war allem Anschein nach noch nicht aufgetischt .	Das Buffet war allem Anschein nach noch nicht [MASK] .		auftischen	Buffet
84	1	aufgetischt	Auf dem Heimweg wird er von einem ganzen Police-Squad abgefangen und bekommt das nächste Angebot aufgetischt .	Auf dem Heimweg wird er von einem ganzen Police-Squad abgefangen und bekommt das nächste Angebot [MASK] .		auftischen	Angebot
85	0	aufgetischt	Frau Neumann hatte bereits einen Schmaus aufgetischt : Karnickel mit Kartoffelbrei .	Frau Neumann hatte bereits einen Schmaus [MASK] : Karnickel mit Kartoffelbrei .	Frau	auftischen	Schmaus
86	0	auftischt	Es sind Superlative in Vollendung , was Christian Jürgens im Gourmet Restaurant Überfahrt auftischt .	Es sind Superlative in Vollendung , was Christian Jürgens im Gourmet Restaurant Überfahrt [MASK] .	Jürgens	auftischen	
87	1	aufgetischt	Ist es nicht frustrierend , ständig Märchen aufgetischt zu bekommen ?	Ist es nicht frustrierend , ständig Märchen [MASK] zu bekommen ?		auftischen	Märchen
88	1	aufgetischt	Bei dem ausser Plattitüden , Halbwahrheiten und Wahlgeschenken dem Wahlvolk auch Lügen aufgetischt werden .	Bei dem ausser Plattitüden , Halbwahrheiten und Wahlgeschenken dem Wahlvolk auch Lügen [MASK] werden .		auftischen	Lüge
89	1	auftischen	Wieviele Lügen lassen wir uns noch auftischen ?	Wieviele Lügen lassen wir uns noch [MASK] ?	wir	auftischen	Lüge
90	0	aufgetischt	Nach einer weiteren Nacht vor Ralph hat uns Butz ein ausgiebiges Frühstück aufgetischt .	Nach einer weiteren Nacht vor Ralph hat uns Butz ein ausgiebiges Frühstück [MASK] .	Butz	auftischen	Frühstück
91	0	aufgetischt	Brot , Tomaten , Paprika , Konserven , Plastikflaschen werden aufgetischt und auf allen Plätzen wird getafelt .	Brot , Tomaten , Paprika , Konserven , Plastikflaschen werden [MASK] und auf allen Plätzen wird getafelt .		auftischen	Plastikflasche
92	1	auftischen	Was für Lügen wollen die uns noch auftischen ?	Was für Lügen wollen die uns noch [MASK] ?		auftischen	Lüge
93	1	aufgetischt	Schon beachtlich , welch Kausalitäten wir Konsumenten tagtäglich aufgetischt bekommen .	Schon beachtlich , welch Kausalitäten wir Konsumenten tagtäglich [MASK] bekommen .		auftischen	Kausalität
94	1	aufgetischt	Was wir für 1 A Bösewichte aufgetischt bekommen haben .	Was wir für 1 A Bösewichte [MASK] bekommen haben .		auftischen	Bösewicht
95	0	aufgetischt	besorgt und herrliche Salate aufgetischt .	besorgt und herrliche Salate [MASK] .		auftischen	Salat
96	0	aufgetischt	Für neureiche Chinesen wird in Pekinger Restaurants eine blutige Tierfolter als Feinschmecker-Spezialität aufgetischt !	Für neureiche Chinesen wird in Pekinger Restaurants eine blutige Tierfolter als Feinschmecker-Spezialität [MASK] !		auftischen	Tierfolter
97	1	aufgetischt	Es ist gelinde gesagt revolutionär , wenn das Thema SV aufgetischt wird .	Es ist gelinde gesagt revolutionär , wenn das Thema SV [MASK] wird .		auftischen	Thema
98	0	aufzutischen	Beim Heimdallblot oder Mordgutblot sollte die Tafel dafür ein Beispiel sein , nährreiches und vitaminreiches Essen aufzutischen .	Beim Heimdallblot oder Mordgutblot sollte die Tafel dafür ein Beispiel sein , nährreiches und vitaminreiches Essen [MASK] .		auftischen	Essen
99	1	auftischen	Verbraucher lassen sich nicht alles auftischen , erst recht keinen Etikettenschwindel .	Verbraucher lassen sich nicht alles [MASK] , erst recht keinen Etikettenschwindel .		auftischen	Etikettenschwindel
100	0	aufgetischt	Bei mir gab es nur Gummibärchen , bei einer Kollegin wurde bei der Buchvorstellung ein halbes Buffet aufgetischt .	Bei mir gab es nur Gummibärchen , bei einer Kollegin wurde bei der Buchvorstellung ein halbes Buffet [MASK] .		auftischen	Buffet
101	0	aufgetischt	Zum Nachtisch wird bestenfalls Tiramisu aufgetischt , die venezianische Süssspeise aus Mascarpone , Eiern und Biskuits .	Zum Nachtisch wird bestenfalls Tiramisu [MASK] , die venezianische Süssspeise aus Mascarpone , Eiern und Biskuits .		auftischen	Tiramisu
102	1	tischt	Oliver tischt Vanessa eine Lüge auf .	Oliver [MASK] Vanessa eine Lüge auf .	Oliver	auftischen	Lüge
103	1	aufgetischt	Genauso läuft das ja jetzt mit den EU-Schulden , da werden uns wieder Lügen aufgetischt .	Genauso läuft das ja jetzt mit den EU-Schulden , da werden uns wieder Lügen [MASK] .		auftischen	Lüge
104	0	aufgetischt	Wieder einmal wurden allerlei Köstlichkeiten aufgetischt .	Wieder einmal wurden allerlei Köstlichkeiten [MASK] .		auftischen	Köstlichkeit
105	1	aufgetischt	Fiordiligi und Dorabella wird die Geschichte aufgetischt , ihre beiden Offiziere müssten sofort mit ihrem Regiment austücken .	Fiordiligi und Dorabella wird die Geschichte [MASK] , ihre beiden Offiziere müssten sofort mit ihrem Regiment austücken .		auftischen	Geschichte
106	1	auftischt	Was Quentin Tarantino , der Regisseur , hier mal wieder auftischt , ist einfach nur grandios .	Was Quentin Tarantino , der Regisseur , hier mal wieder [MASK] , ist einfach nur grandios .	Quentin Tarantino	auftischen	
107	1	auftischen	bedenklich was einem Journalisten so auftischen .	bedenklich was einem Journalisten so [MASK] .		auftischen	
108	0	ausheulen	Ich kann dir gerne eine Schulter zum ausheulen anbieten .	Ich kann dir gerne eine Schulter zum [MASK] anbieten .		ausheulen	
109	0	ausgeheult	Ich hab mir die Augen ausgeheult , hasse mich dafür dass ich so dumm gewesen bin .	Ich hab mir die Augen [MASK] , hasse mich dafür dass ich so dumm gewesen bin .		ausheulen	Auge
110	1	ausheulen	dann sollen diese Leute im Forum bleiben , sich da ausheulen und am sack kratzen .	dann sollen diese Leute im Forum bleiben , sich da [MASK] und am sack kratzen .	Leute	ausheulen	sich
111	1	ausheulen	Eine gute Seite dafür ist Hasstiraden.de , ein Portal um sich mal richtig ausheulen zu können .	Eine gute Seite dafür ist Hasstiraden.de , ein Portal um sich mal richtig [MASK] zu können .		ausheulen	sich
112	1	zuspitzen	Strauss-Kahn warnte , dass sich die Wirtschaftskrise durch die angespannte Lage in Osteuropa weiter zuspitzen könnte .	Strauss-Kahn warnte , dass sich die Wirtschaftskrise durch die angespannte Lage in Osteuropa weiter [MASK] könnte .	Wirtschaftskrise	zuspitzen	sich
113	1	spitzt	Die Lage spitzt sich zu , als Friedrich plötzlich wegen Hochverrats hingerichtet werden soll .	Die Lage [MASK] sich zu , als Friedrich plötzlich wegen Hochverrats hingerichtet werden soll .	Lage	zuspitzen	sich
114	0	zugespitzt	Das Paddel des Boots ist in einem 45 - grädigen Winkel zugespitzt und verschärft .	Das Paddel des Boots ist in einem 45 - grädigen Winkel [MASK] und verschärft .		zuspitzen	Paddel
115	0	zugespitzt	Sie ist filzig behaart und die Laubblätter sind sichelförmig zugespitzt .	Sie ist filzig behaart und die Laubblätter sind sichelförmig [MASK] .		zuspitzen	Laubblätter
116	1	auftrennen	Diese Verbindungen lassen sich im LAN per VLAN auftrennen .	Diese Verbindungen lassen sich im LAN per VLAN [MASK] .		auftrennen	Verbindung
117	0	aufgetrennt	Die Teilpartie wurde längs in der Mitte aufgetrennt und um 2 mm verbreitert .	Die Teilpartie wurde längs in der Mitte [MASK] und um 2 mm verbreitert .		auftrennen	Teilpartie
118	0	auftrennen	Zum Messen des Stroms musst du den Stromkreis auftrennen .	Zum Messen des Stroms musst du den Stromkreis [MASK] .	du	auftrennen	Stromkreis
119	1	trennte	Nach dem 1. Spiel trennte sich das Feld auf .	Nach dem 1. Spiel [MASK] sich das Feld auf .	Feld	auftrennen	sich
120	1	aufstaut	Die Trägheit , die sich im Laufe des Alltags immer weiter in euch aufstaut ?	Die Trägheit , die sich im Laufe des Alltags immer weiter in euch [MASK] ?	Trägheit	aufstauen	sich
121	0	aufstauen	Dort würde sich bei einem Jahrhundertereignis das Wasser aufstauen bis zum Freibadgelände und weiter .	Dort würde sich bei einem Jahrhundertereignis das Wasser [MASK] bis zum Freibadgelände und weiter .	Wasser	aufstauen	sich
122	0	aufgestaut	Es hat sich wohl sehr viel Wasser aufgestaut .	Es hat sich wohl sehr viel Wasser [MASK] .	Wasser	aufstauen	Sich
123	0	aufgestaut	Im Sudan wird der Blaue Nil bei Sennar und Roseires zur Bewässerung und Energiegewinnung aufgestaut .	Im Sudan wird der Blaue Nil bei Sennar und Roseires zur Bewässerung und Energiegewinnung [MASK] .		aufstauen	Blauer Nil
124	0	staut	staut den Fluss Pizarrosa auf .	[MASK] den Fluss Pizarrosa auf .		aufstauen	Fluss
125	0	aufgestaut	Auf 130 km wird der Wasserstrom reguliert und aufgestaut .	Auf 130 km wird der Wasserstrom reguliert und [MASK] .		aufstauen	Wasserstrom
126	1	aufgestaut	aber was mach ich jetzt mit meinen Gefühlen für Mark , die sich aufgestaut haben ?	aber was mach ich jetzt mit meinen Gefühlen für Mark , die sich [MASK] haben ?	Gefühl	aufstauen	sich
127	0	aufgestaut	Es sollte endlich für einen flüssig fliessenden Autoverkehr gesorgt werden der nicht künstlich aufgestaut wird .	Es sollte endlich für einen flüssig fliessenden Autoverkehr gesorgt werden der nicht künstlich [MASK] wird .		aufstauen	Autoverkehr
128	0	aufstauen	Dort kann man nämlich Speicherseen aufstauen und sie durch mächtige Rohrleitungen miteinander verbinden .	Dort kann man nämlich Speicherseen [MASK] und sie durch mächtige Rohrleitungen miteinander verbinden .		aufstauen	Speichersee
129	1	aufgestaut	Es hatte sich in den Wochen zuvor eine Menge Frust aufgestaut .	Es hatte sich in den Wochen zuvor eine Menge Frust [MASK] .	Frust	aufstauen	sich
130	0	aufgestaut	Nach Beendigung dieser Arbeit ist der Mönch wieder komplett dicht und der Teich wird wieder aufgestaut .	Nach Beendigung dieser Arbeit ist der Mönch wieder komplett dicht und der Teich wird wieder [MASK] .		aufstauen	Teich
131	0	aufzustauen	Mit dem Ende des 19. Jahrhunderts begann man die Flüsse für Wasserkraftwerke aufzustauen .	Mit dem Ende des 19. Jahrhunderts begann man die Flüsse für Wasserkraftwerke [MASK] .	man	aufstauen	Fluss
132	1	aufstauen	Du kannst dein Herz mit Liebe nicht aufstauen .	Du kannst dein Herz mit Liebe nicht [MASK] .	du	aufstauen	Herz
133	0	aufzustauen	Einmal machten wir uns daran , den Zulauf des Teichs mit Ästchen , Blättern und Steinchen aufzustauen .	Einmal machten wir uns daran , den Zulauf des Teichs mit Ästchen , Blättern und Steinchen [MASK] .		aufstauen	Zulauf
134	0	aufgestaut	Dort wird das Wasser aufgestaut und an Nimroz verkauft .	Dort wird das Wasser [MASK] und an Nimroz verkauft .		aufstauen	Wasser
135	1	aufgestaut	Dies trügt jedoch , denn es haben sich Eifersucht , Rachegefühle und beleidigter Stolz bei ihm aufgestaut .	Dies trügt jedoch , denn es haben sich Eifersucht , Rachegefühle und beleidigter Stolz bei ihm [MASK] .	Stolz	aufstauen	
136	0	aufgestaut	Dazu gehört , dass um ein wirtschaftlich arbeiten zu können , riesige Wassermassen aufgestaut werden müssen .	Dazu gehört , dass um ein wirtschaftlich arbeiten zu können , riesige Wassermassen [MASK] werden müssen .		aufstauen	Wassermasse
137	0	aufgestaut	Hier wird seit dem Jahr 1956 durch den Moore Dam der Connecticut River aufgestaut .	Hier wird seit dem Jahr 1956 durch den Moore Dam der Connecticut River [MASK] .		aufstauen	River
138	0	aufgestaut	Weiter hinten durch , war der See gestaut und zu einem ausgewachsenen See namens Hebgen Lake aufgestaut .	Weiter hinten durch , war der See gestaut und zu einem ausgewachsenen See namens Hebgen Lake [MASK] .		aufstauen	See
139	0	staut	Im zuführenden Gefäss , also vor der Leber , staut sich das Blut auf .	Im zuführenden Gefäss , also vor der Leber , [MASK] sich das Blut auf .	Blut	aufstauen	sich
140	0	aufgestaut	Hier wird der Columbia River zu einem See , dem Lake Roosevelt , aufgestaut .	Hier wird der Columbia River zu einem See , dem Lake Roosevelt , [MASK] .		aufstauen	River
141	1	aufgestaut	Ärger und Unmut den er in sich aufgestaut hatte verflog .	Ärger und Unmut den er in sich [MASK] hatte verflog .	Unmut	aufstauen	
